0:0:0:0:0:0:0:1 - - [26/Jan/2026:15:26:06 +0500] "GET /VIM/allMenu HTTP/1.1" 200 18547
0:0:0:0:0:0:0:1 - - [26/Jan/2026:15:26:35 +0500] "OPTIONS /VIM/getAllCustomForms HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Jan/2026:15:26:35 +0500] "OPTIONS /VIM/allSubMenuRole?roleId=1&userId=145 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Jan/2026:15:26:35 +0500] "OPTIONS /VIM/allSubMenuRole?roleId=1&userId=145 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Jan/2026:15:26:35 +0500] "GET /VIM/getAllCustomForms HTTP/1.1" 200 19572
0:0:0:0:0:0:0:1 - - [26/Jan/2026:15:26:35 +0500] "GET /VIM/allSubMenuRole?roleId=1&userId=145 HTTP/1.1" 200 43569
0:0:0:0:0:0:0:1 - - [26/Jan/2026:15:26:35 +0500] "GET /VIM/allSubMenuRole?roleId=1&userId=145 HTTP/1.1" 200 43569
0:0:0:0:0:0:0:1 - - [26/Jan/2026:15:26:35 +0500] "GET /VIM/allMenu HTTP/1.1" 200 18547
0:0:0:0:0:0:0:1 - - [26/Jan/2026:15:26:38 +0500] "GET /VIM/getNextApplicationCode?formId=576 HTTP/1.1" 200 49
0:0:0:0:0:0:0:1 - - [26/Jan/2026:15:31:46 +0500] "GET /VIM/getAllCustomForms HTTP/1.1" 200 19572
0:0:0:0:0:0:0:1 - - [26/Jan/2026:15:31:46 +0500] "GET /VIM/allSubMenuRole?roleId=1&userId=145 HTTP/1.1" 200 43569
0:0:0:0:0:0:0:1 - - [26/Jan/2026:15:31:46 +0500] "GET /VIM/allMenu HTTP/1.1" 200 18547
0:0:0:0:0:0:0:1 - - [26/Jan/2026:15:31:46 +0500] "GET /VIM/allSubMenuRole?roleId=1&userId=145 HTTP/1.1" 200 43569
0:0:0:0:0:0:0:1 - - [26/Jan/2026:15:32:03 +0500] "OPTIONS /VIM/getNextApplicationCode?formId=576 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Jan/2026:15:32:04 +0500] "GET /VIM/getNextApplicationCode?formId=576 HTTP/1.1" 200 49
0:0:0:0:0:0:0:1 - - [26/Jan/2026:15:32:18 +0500] "GET /VIM/getAllCustomForms HTTP/1.1" 200 19572
0:0:0:0:0:0:0:1 - - [26/Jan/2026:15:32:19 +0500] "GET /VIM/allSubMenuRole?roleId=1&userId=145 HTTP/1.1" 200 43569
0:0:0:0:0:0:0:1 - - [26/Jan/2026:15:32:19 +0500] "GET /VIM/allMenu HTTP/1.1" 200 18547
0:0:0:0:0:0:0:1 - - [26/Jan/2026:15:32:19 +0500] "GET /VIM/allSubMenuRole?roleId=1&userId=145 HTTP/1.1" 200 43569
0:0:0:0:0:0:0:1 - - [26/Jan/2026:15:32:20 +0500] "GET /VIM/getNextApplicationCode?formId=576 HTTP/1.1" 200 49
0:0:0:0:0:0:0:1 - - [26/Jan/2026:15:33:03 +0500] "GET /VIM/getAllCustomForms HTTP/1.1" 200 19572
0:0:0:0:0:0:0:1 - - [26/Jan/2026:15:33:03 +0500] "GET /VIM/allSubMenuRole?roleId=1&userId=145 HTTP/1.1" 200 43569
0:0:0:0:0:0:0:1 - - [26/Jan/2026:15:33:04 +0500] "GET /VIM/allSubMenuRole?roleId=1&userId=145 HTTP/1.1" 200 43569
0:0:0:0:0:0:0:1 - - [26/Jan/2026:15:33:05 +0500] "GET /VIM/allMenu HTTP/1.1" 200 18547
0:0:0:0:0:0:0:1 - - [26/Jan/2026:15:33:33 +0500] "GET /VIM/getNextApplicationCode?formId=576 HTTP/1.1" 200 49
0:0:0:0:0:0:0:1 - - [26/Jan/2026:15:36:16 +0500] "GET /VIM/getAllCustomForms HTTP/1.1" 200 19572
0:0:0:0:0:0:0:1 - - [26/Jan/2026:15:36:16 +0500] "GET /VIM/allSubMenuRole?roleId=1&userId=145 HTTP/1.1" 200 43569
0:0:0:0:0:0:0:1 - - [26/Jan/2026:15:36:16 +0500] "GET /VIM/allMenu HTTP/1.1" 200 18547
0:0:0:0:0:0:0:1 - - [26/Jan/2026:15:36:16 +0500] "GET /VIM/allSubMenuRole?roleId=1&userId=145 HTTP/1.1" 200 43569
0:0:0:0:0:0:0:1 - - [26/Jan/2026:15:36:18 +0500] "GET /VIM/getNextApplicationCode?formId=576 HTTP/1.1" 200 49
0:0:0:0:0:0:0:1 - - [26/Jan/2026:15:39:55 +0500] "GET /VIM/getAllCustomForms HTTP/1.1" 200 19572
0:0:0:0:0:0:0:1 - - [26/Jan/2026:15:39:55 +0500] "GET /VIM/allSubMenuRole?roleId=1&userId=145 HTTP/1.1" 200 43569
0:0:0:0:0:0:0:1 - - [26/Jan/2026:15:39:55 +0500] "GET /VIM/allMenu HTTP/1.1" 200 18547
0:0:0:0:0:0:0:1 - - [26/Jan/2026:15:39:55 +0500] "GET /VIM/allSubMenuRole?roleId=1&userId=145 HTTP/1.1" 200 43569
0:0:0:0:0:0:0:1 - - [26/Jan/2026:15:40:06 +0500] "GET /VIM/getNextApplicationCode?formId=576 HTTP/1.1" 200 49
